节点,项目    ,max               ,min               ,ave               ,24小时总计            ,1h                ,2h                ,3h                ,4h                ,5h                ,6h                ,7h                ,8h                ,9h                ,10h               ,11h               ,12h               ,13h               ,14h               ,15h               ,16h               ,17h               ,18h               ,19h               ,20h               ,21h               ,22h              ,23h               ,24h
0 ,负荷    ,7300              ,4500              ,5816.666666666667 ,139600            ,5000              ,4500              ,4500              ,4500              ,4500              ,4500              ,4500              ,4500              ,6000              ,6000              ,6000              ,6000              ,7300              ,7300              ,7300              ,7300              ,7300              ,7300              ,7300              ,6000              ,6000              ,6000             ,5000              ,5000
0 ,线潮L1-0,3933.3298265155727,1584.223486837609 ,2388.3068147572953,57319.36355417509 ,1965.272282811579 ,1740.6173861616871,1740.6173861616871,1688.8016311138972,1584.223486837609 ,1688.8206948590496,1740.369448442776 ,1700.328206428062 ,2341.9292151688674,2341.2246783053174,2363.416434870951 ,2507.719829969709 ,3455.3779415655526,3933.3298265155727,3426.286142622091 ,3048.2835444580346,3108.4107100070373,3322.276134887462 ,2864.8555594242343,2323.9767425192476,2301.4334588020797,2249.366091159379,1917.1544382716302,1965.272282811579
0 ,线潮L2-0,6671.916377064831 ,3390.249337705422 ,4594.322296677216 ,110263.73512025319,3765.8057448221302,3390.249337705422 ,3390.249337705422 ,3422.5635771915295,3659.2298050904315,3421.0436083339127,3390.497578948704 ,3418.5402443861813,4559.612774418073 ,4582.833618826698 ,4659.728781975728 ,4615.944680558543 ,5502.082636744964 ,5474.073103916473 ,5681.322754500565 ,6660.038720151549 ,6671.916377064831 ,6052.567052508494 ,6219.013726945145 ,4714.1850664193125,4699.217625582192 ,4731.782725080174,3815.430496554546 ,3765.8057448221302
0 ,火电装机  ,1800              ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
0 ,新能源装机 ,900               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
0 ,风电装机  ,900               ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
0 ,光伏装机  ,0                 ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                 ,                  ,
0 ,火电出力  ,1399.0            ,780.0             ,1139.25           ,27342.0           ,1180.0            ,1080.0            ,1080.0            ,1080.0            ,930.0             ,1079.0            ,1080.0            ,1080.0            ,1399.0            ,1380.0            ,1280.0            ,1230.0            ,1330.0            ,1030.0            ,1230.0            ,830.0             ,780.0             ,980.0             ,1130.0            ,1252.0            ,1280.0            ,1280.0           ,1162.0            ,1180.0
0 ,新能源出力 ,116               ,0                 ,23.458333333333332,563               ,0                 ,0                 ,0                 ,13                ,75                ,15                ,0                 ,8                 ,1                 ,5                 ,39                ,22                ,0                 ,0                 ,0                 ,0                 ,2                 ,72                ,116               ,57                ,54                ,67               ,17                ,0
0 ,输电线功率 ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0               ,0.0              ,0.0               ,0.0
